#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2024
# Final Processing Date: 2024-07-08
# Final Processing Time: 16:06:38
# Spline RMSE gcc_mean: 0.00329
# Spline RMSE gcc_50: 0.0036
# Spline RMSE gcc_75: 0.00365
# Spline RMSE gcc_90: 0.00387
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,DB,1000,rising,gcc_90,2015-05-09,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-14,2015-05-20,0.32282,0.33873,0.37633,0.31121,0.42854
lacclair,DB,1000,rising,gcc_90,2016-05-15,2016-05-18,2016-05-23,2016-05-14,2016-05-17,2016-05-21,2016-05-17,2016-05-20,2016-05-24,0.32244,0.33845,0.3808,0.31387,0.43161
lacclair,DB,1000,rising,gcc_90,2017-05-13,2017-05-17,2017-05-23,2017-05-11,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.32289,0.33651,0.37297,0.3122,0.42556
lacclair,DB,1000,rising,gcc_90,2018-05-15,2018-05-19,2018-05-23,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-20,2018-05-24,0.32232,0.34202,0.37191,0.3139,0.42873
lacclair,DB,1000,rising,gcc_90,2019-05-19,2019-05-23,2019-05-30,2019-05-18,2019-05-22,2019-05-28,2019-05-22,2019-05-25,2019-05-31,0.32253,0.33885,0.37437,0.3131,0.4338
lacclair,DB,1000,rising,gcc_90,2020-05-17,2020-05-20,2020-05-25,2020-05-16,2020-05-19,2020-05-23,2020-05-19,2020-05-22,2020-05-26,0.32012,0.33979,0.37703,0.31407,0.42948
lacclair,DB,1000,rising,gcc_90,2021-05-08,2021-05-11,2021-05-16,2021-05-06,2021-05-10,2021-05-15,2021-05-10,2021-05-13,2021-05-17,0.32547,0.34076,0.3734,0.31486,0.43085
lacclair,DB,1000,rising,gcc_90,2022-05-07,2022-05-11,2022-05-15,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-12,2022-05-16,0.32453,0.34242,0.37608,0.31372,0.43279
lacclair,DB,1000,rising,gcc_90,2023-05-07,2023-05-11,2023-05-17,2023-05-05,2023-05-10,2023-05-15,2023-05-09,2023-05-12,2023-05-18,0.32445,0.34029,0.37266,0.31458,0.42341
lacclair,DB,1000,rising,gcc_90,2024-05-08,2024-05-11,2024-05-16,2024-05-07,2024-05-10,2024-05-14,2024-05-10,2024-05-13,2024-05-17,0.32472,0.33738,0.3767,0.31496,0.42878
lacclair,DB,1000,rising,gcc_75,2015-05-08,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-20,0.31866,0.33558,0.37064,0.30999,0.42078
lacclair,DB,1000,rising,gcc_75,2016-05-15,2016-05-19,2016-05-23,2016-05-14,2016-05-18,2016-05-22,2016-05-17,2016-05-20,2016-05-24,0.32002,0.33929,0.37427,0.31283,0.42525
lacclair,DB,1000,rising,gcc_75,2017-05-13,2017-05-17,2017-05-23,2017-05-11,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.321,0.33439,0.36953,0.31122,0.42101
lacclair,DB,1000,rising,gcc_75,2018-05-16,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.32389,0.33758,0.37268,0.31311,0.42358
lacclair,DB,1000,rising,gcc_75,2019-05-19,2019-05-23,2019-05-30,2019-05-18,2019-05-22,2019-05-29,2019-05-22,2019-05-25,2019-05-31,0.32126,0.33668,0.37044,0.31221,0.42844
lacclair,DB,1000,rising,gcc_75,2020-05-18,2020-05-20,2020-05-25,2020-05-17,2020-05-19,2020-05-24,2020-05-19,2020-05-22,2020-05-26,0.32369,0.33609,0.37071,0.3132,0.42132
lacclair,DB,1000,rising,gcc_75,2021-05-08,2021-05-11,2021-05-17,2021-05-07,2021-05-10,2021-05-15,2021-05-10,2021-05-13,2021-05-18,0.32337,0.33767,0.37698,0.31413,0.42685
lacclair,DB,1000,rising,gcc_75,2022-05-07,2022-05-11,2022-05-16,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-12,2022-05-17,0.32336,0.3399,0.37766,0.31282,0.42821
lacclair,DB,1000,rising,gcc_75,2023-05-07,2023-05-11,2023-05-17,2023-05-05,2023-05-10,2023-05-16,2023-05-09,2023-05-13,2023-05-18,0.32342,0.3376,0.36679,0.31336,0.41975
lacclair,DB,1000,rising,gcc_75,2024-05-08,2024-05-12,2024-05-16,2024-05-07,2024-05-11,2024-05-15,2024-05-10,2024-05-13,2024-05-17,0.32282,0.3407,0.37152,0.31404,0.42169
lacclair,DB,1000,rising,gcc_50,2015-05-08,2015-05-13,2015-05-19,2015-05-06,2015-05-12,2015-05-18,2015-05-11,2015-05-15,2015-05-20,0.31712,0.33193,0.36312,0.30813,0.41454
lacclair,DB,1000,rising,gcc_50,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-22,2016-05-17,2016-05-20,2016-05-24,0.32191,0.33598,0.36847,0.31105,0.42042
lacclair,DB,1000,rising,gcc_50,2017-05-13,2017-05-18,2017-05-23,2017-05-12,2017-05-17,2017-05-22,2017-05-16,2017-05-19,2017-05-24,0.31811,0.33553,0.3647,0.30984,0.41398
lacclair,DB,1000,rising,gcc_50,2018-05-15,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.31909,0.3351,0.36578,0.31188,0.41356
lacclair,DB,1000,rising,gcc_50,2019-05-19,2019-05-24,2019-05-31,2019-05-17,2019-05-23,2019-05-30,2019-05-21,2019-05-26,2019-06-01,0.32049,0.33658,0.36453,0.31087,0.41778
lacclair,DB,1000,rising,gcc_50,2020-05-17,2020-05-20,2020-05-25,2020-05-16,2020-05-19,2020-05-24,2020-05-19,2020-05-22,2020-05-26,0.31679,0.3318,0.36327,0.31087,0.41246
lacclair,DB,1000,rising,gcc_50,2021-05-08,2021-05-11,2021-05-17,2021-05-06,2021-05-10,2021-05-15,2021-05-10,2021-05-13,2021-05-18,0.32236,0.33437,0.36802,0.31272,0.41699
lacclair,DB,1000,rising,gcc_50,2022-05-07,2022-05-11,2022-05-16,2022-05-06,2022-05-10,2022-05-15,2022-05-09,2022-05-13,2022-05-17,0.32057,0.33415,0.36718,0.31144,0.42012
lacclair,DB,1000,rising,gcc_50,2023-05-08,2023-05-12,2023-05-18,2023-05-06,2023-05-11,2023-05-17,2023-05-10,2023-05-14,2023-05-19,0.3215,0.33616,0.36426,0.31158,0.41582
lacclair,DB,1000,rising,gcc_50,2024-05-09,2024-05-12,2024-05-17,2024-05-07,2024-05-11,2024-05-15,2024-05-11,2024-05-13,2024-05-18,0.32242,0.33585,0.37177,0.31266,0.41674
lacclair,DB,1000,rising,gcc_mean,2015-05-08,2015-05-13,2015-05-19,2015-05-05,2015-05-12,2015-05-18,2015-05-10,2015-05-15,2015-05-20,0.31752,0.33225,0.36299,0.30792,0.41247
lacclair,DB,1000,rising,gcc_mean,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-22,2016-05-17,2016-05-20,2016-05-24,0.32141,0.33559,0.36805,0.31066,0.41817
lacclair,DB,1000,rising,gcc_mean,2017-05-13,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.31775,0.33145,0.36536,0.30939,0.41229
lacclair,DB,1000,rising,gcc_mean,2018-05-15,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.31905,0.33496,0.36676,0.31159,0.41557
lacclair,DB,1000,rising,gcc_mean,2019-05-19,2019-05-24,2019-05-31,2019-05-18,2019-05-23,2019-05-29,2019-05-21,2019-05-26,2019-06-01,0.31936,0.33625,0.36593,0.31038,0.41792
lacclair,DB,1000,rising,gcc_mean,2020-05-18,2020-05-20,2020-05-25,2020-05-17,2020-05-19,2020-05-24,2020-05-19,2020-05-22,2020-05-26,0.3207,0.33108,0.3628,0.3107,0.41379
lacclair,DB,1000,rising,gcc_mean,2021-05-08,2021-05-11,2021-05-17,2021-05-06,2021-05-10,2021-05-15,2021-05-10,2021-05-13,2021-05-18,0.3225,0.33471,0.36889,0.31237,0.41672
lacclair,DB,1000,rising,gcc_mean,2022-05-07,2022-05-11,2022-05-16,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-13,2022-05-17,0.32033,0.33388,0.36758,0.31102,0.41681
lacclair,DB,1000,rising,gcc_mean,2023-05-07,2023-05-12,2023-05-18,2023-05-05,2023-05-11,2023-05-16,2023-05-09,2023-05-13,2023-05-19,0.32017,0.33688,0.36402,0.31118,0.41461
lacclair,DB,1000,rising,gcc_mean,2024-05-08,2024-05-12,2024-05-16,2024-05-07,2024-05-11,2024-05-15,2024-05-10,2024-05-13,2024-05-17,0.32047,0.33689,0.3657,0.31221,0.41629
lacclair,DB,1000,falling,gcc_90,2023-10-01,2023-09-29,2023-09-23,2023-10-02,2023-09-30,2023-09-24,2023-09-29,2023-09-27,2023-09-22,0.32361,0.3357,0.36651,0.31526,0.41768
lacclair,DB,1000,falling,gcc_90,2022-09-30,2022-09-26,2022-09-17,2022-10-01,2022-09-27,2022-09-20,2022-09-28,2022-09-25,2022-09-14,0.32919,0.34645,0.37327,0.32061,0.42458
lacclair,DB,1000,falling,gcc_90,2021-09-29,2021-09-23,2021-09-14,2021-09-30,2021-09-25,2021-09-17,2021-09-26,2021-09-21,2021-09-13,0.33296,0.34891,0.37387,0.32611,0.41855
lacclair,DB,1000,falling,gcc_90,2020-09-23,2020-09-21,2020-09-15,2020-09-24,2020-09-22,2020-09-17,2020-09-22,2020-09-19,2020-09-14,0.32701,0.33947,0.3681,0.3179,0.41309
